airport,year,avg_arr_delay,carrier_delay,weather_delay,nas_delay,late_aircraft_delay,avg_fare,total_passengers,total_delay
MKE,2021,2004.4186046511627,116182.0,16744.0,22353.0,102490.0,219.15158139534884,12518.0,257769.0
ELP,2021,1871.9035087719299,94279.0,10855.0,13391.0,94632.0,217.65252118644068,8881.0,213157.0
CDB,2021,167.0,370.0,0.0,175.0,379.0,,,924.0
EWR,2020,3866.7714285714287,148543.0,18532.0,226945.0,146423.0,212.6503165514261,75815.0,540443.0
FAY,2022,597.3888888888889,5405.0,656.0,433.0,4253.0,,,10747.0
VLD,2022,3004.6,1731.0,11141.0,411.0,1740.0,,,15023.0
INL,2022,964.8,3297.0,1527.0,0.0,0.0,,,4824.0
JST,2022,961.6,3029.0,1184.0,231.0,364.0,,,4808.0
ATY,2022,92.0,92.0,0.0,0.0,0.0,,,92.0
ALO,2020,216.33333333333334,465.0,254.0,690.0,1117.0,,,2526.0
BMI,2022,433.92,4604.0,690.0,1516.0,4038.0,,,10848.0
STT,2022,1245.6666666666667,17203.0,1106.0,11446.0,7546.0,,,37301.0
LGB,2022,1961.1739130434783,18270.0,1611.0,4336.0,20674.0,235.39997835952596,23528.0,44891.0
JMS,2022,1123.6,4795.0,148.0,0.0,675.0,,,5618.0
CRW,2021,680.6857142857143,8031.0,3279.0,4265.0,8174.0,,,23749.0
SJC,2021,2825.5245901639346,139654.0,16542.0,23858.0,163630.0,226.76396653098146,45968.0,343684.0
GTR,2020,374.9230769230769,3299.0,916.0,454.0,205.0,,,4874.0
SYR,2020,383.58474576271186,20810.0,2635.0,7304.0,14409.0,188.72791666666666,1147.0,45158.0
PRC,2020,560.6666666666666,4608.0,135.0,357.0,1628.0,,,6728.0
ADQ,2022,540.0,847.0,473.0,443.0,937.0,,,2700.0
SBP,2022,1369.0,9787.0,1751.0,1086.0,6418.0,,,19042.0
SLC,2020,4882.909090909091,284155.0,67657.0,87877.0,96855.0,215.29099544072952,26251.0,536544.0
SWF,2020,267.85714285714283,3992.0,383.0,294.0,949.0,207.7278915760429,588.0,5618.0
CPR,2020,592.7857142857143,4984.0,1712.0,511.0,1092.0,,,8299.0
PBI,2022,5403.2307692307695,105293.0,9829.0,85458.0,80030.0,245.86983606557374,33858.0,280610.0
ABI,2022,1371.2,2361.0,1350.0,1702.0,1410.0,,,6823.0
CWA,2021,1100.4615384615386,5069.0,14757.0,3736.0,5017.0,,,28579.0
ILG,2021,138.27272727272728,620.0,0.0,556.0,345.0,,,1521.0
STX,2020,105.47058823529412,2070.0,74.0,814.0,593.0,,,3551.0
CMX,2020,413.0833333333333,3670.0,436.0,406.0,445.0,,,4957.0
CYS,2020,281.6666666666667,1133.0,95.0,265.0,197.0,,,1690.0
BOI,2022,2038.6739130434783,46663.0,4603.0,7024.0,35041.0,196.26807692307693,10696.0,93331.0
LYH,2022,163.6,174.0,0.0,104.0,540.0,,,818.0
CHA,2021,550.0428571428571,14985.0,5727.0,5487.0,12280.0,,,38479.0
CSG,2021,472.85,4810.0,266.0,1750.0,2631.0,,,9457.0
FLL,2021,10999.168224299065,421016.0,51376.0,303204.0,389183.0,167.48998022959182,135937.0,1164779.0
SAN,2021,4014.1418439716313,236284.0,30078.0,66134.0,231786.0,232.14476470588238,50081.0,564282.0
SHR,2021,717.9166666666666,6005.0,1738.0,28.0,844.0,,,8615.0
MSP,2020,3640.846153846154,309365.0,79551.0,79089.0,98820.0,191.0346623634558,28942.0,566825.0
PNS,2022,1166.7962962962963,23820.0,3633.0,9255.0,26199.0,259.6941891891892,4653.0,62907.0
EAU,2021,1048.4166666666667,10130.0,169.0,0.0,2282.0,,,12581.0
HPN,2020,1449.5357142857142,15952.0,1213.0,5225.0,18107.0,228.58921878121873,3743.0,40497.0
GTR,2022,477.2,1110.0,254.0,413.0,609.0,,,2386.0
BRO,2022,484.3,1692.0,186.0,69.0,2881.0,,,4828.0
DFW,2020,13269.503267973856,680081.0,140214.0,522879.0,682848.0,199.29322611683847,93074.0,2026022.0
LAN,2020,339.52272727272725,7126.0,3181.0,2117.0,2515.0,,,14939.0
CGI,2022,1031.6,4415.0,171.0,0.0,572.0,,,5158.0
FAY,2020,563.90625,6613.0,2855.0,2591.0,5829.0,,,17888.0
GNV,2020,472.4791666666667,9148.0,1617.0,3328.0,8586.0,,,22679.0
FAR,2022,1392.0967741935483,25278.0,4951.0,2983.0,9900.0,242.35875000000001,1222.0,43112.0
CYS,2022,352.8,1270.0,379.0,0.0,115.0,,,1764.0
SHR,2022,474.4,1193.0,0.0,0.0,1179.0,,,2372.0
HNL,2021,4429.069444444444,179719.0,10185.0,31520.0,96448.0,,,317872.0
CMH,2020,872.7350993377484,50074.0,7301.0,24778.0,49147.0,177.3773223722842,18878.0,131300.0
JMS,2021,1908.0833333333333,9253.0,10859.0,0.0,2785.0,,,22897.0
SCK,2020,360.53333333333336,3328.0,821.0,559.0,559.0,,,5267.0
IMT,2020,386.75,2753.0,1675.0,175.0,38.0,,,4641.0
CMH,2022,3495.1692307692306,91128.0,11734.0,32708.0,91158.0,234.7363608957795,45759.0,226728.0
LSE,2022,889.4,4853.0,2551.0,719.0,736.0,,,8859.0
IAD,2021,4185.383458646616,220311.0,47502.0,110406.0,177819.0,202.60829508196724,49038.0,556038.0
MCI,2021,2499.185628742515,180157.0,27108.0,46208.0,162125.0,204.1302978056426,23692.0,415598.0
JAX,2020,568.5625,39791.0,5480.0,19182.0,26373.0,195.41549929676512,9853.0,90826.0
BLV,2020,771.5,4187.0,798.0,1325.0,2927.0,72.15,28.0,9237.0
PWM,2022,1485.090909090909,24272.0,9643.0,10202.0,21216.0,196.22175384615383,4865.0,65333.0
GSO,2020,543.625,16459.0,4923.0,9100.0,21619.0,207.0916666666667,1080.0,52101.0
WRG,2020,425.5,1073.0,307.0,1022.0,2650.0,,,5052.0
AVP,2020,417.53846153846155,8423.0,1560.0,2158.0,4074.0,,,16215.0
IMT,2022,907.4,3839.0,698.0,0.0,0.0,,,4537.0
BWI,2021,4481.672955974843,252247.0,26327.0,123114.0,306783.0,193.00399328859058,89461.0,708471.0
LRD,2021,414.1290322580645,5264.0,563.0,1302.0,5709.0,,,12838.0
MHT,2021,1103.6078431372548,22898.0,3276.0,5913.0,24095.0,241.6206277056277,7099.0,56182.0
MOB,2022,691.8636363636364,7294.0,1800.0,1790.0,4337.0,,,15221.0
COU,2022,1107.25,3134.0,1005.0,124.0,4576.0,,,8839.0
MHK,2022,434.6,1469.0,320.0,481.0,2076.0,,,4346.0
MSY,2021,2545.929411764706,167765.0,28910.0,66436.0,168177.0,200.66390767045453,30061.0,431288.0
OME,2021,240.83333333333334,1121.0,157.0,756.0,856.0,,,2890.0
CLE,2020,825.1360946745563,53248.0,6236.0,28615.0,51053.0,170.88785680751178,20434.0,139152.0
LCK,2020,1041.5833333333333,4819.0,985.0,3257.0,3438.0,85.75222222222222,258.0,12499.0
STX,2021,380.8333333333333,7457.0,785.0,2634.0,2583.0,,,13459.0
DBQ,2021,509.0833333333333,1471.0,2253.0,1016.0,1369.0,,,6109.0
OME,2020,176.16666666666666,587.0,336.0,370.0,821.0,,,2114.0
CGI,2020,445.5833333333333,4091.0,37.0,235.0,984.0,,,5347.0
MEI,2020,833.6666666666666,6097.0,1075.0,934.0,1898.0,,,10004.0
SHD,2020,609.1666666666666,4169.0,1555.0,348.0,1238.0,,,7310.0
AZO,2022,619.2727272727273,1970.0,1549.0,1386.0,1907.0,,,6812.0
OMA,2022,1911.5737704918033,53959.0,10115.0,10701.0,41501.0,249.87086814086814,13782.0,116276.0
DBQ,2022,538.6,1140.0,457.0,553.0,543.0,,,2693.0
LNK,2020,301.88461538461536,4524.0,980.0,1412.0,933.0,,,7849.0
DRT,2020,173.8,722.0,57.0,333.0,626.0,,,1738.0
TUL,2022,1310.962962962963,33815.0,3113.0,4930.0,28908.0,234.50018518518522,6428.0,70766.0
DRT,2021,394.1666666666667,1197.0,678.0,475.0,2380.0,,,4730.0
SPS,2021,605.5,2264.0,588.0,1810.0,2604.0,,,7266.0
ABY,2020,263.0,2362.0,519.0,506.0,32.0,,,3419.0
PIH,2020,297.0833333333333,2312.0,1126.0,127.0,0.0,,,3565.0
ADK,2022,56.2,0.0,54.0,122.0,105.0,,,281.0
IAG,2022,461.57142857142856,1240.0,115.0,871.0,1005.0,,,3231.0
PIA,2022,761.2380952380952,6057.0,762.0,2920.0,6223.0,,,15962.0
HTS,2021,608.0833333333334,2163.0,437.0,1345.0,3079.0,172.01,158.0,7024.0
SLN,2021,1108.1666666666667,7765.0,2559.0,0.0,2974.0,,,13298.0
PUW,2021,427.5,1858.0,344.0,655.0,2255.0,,,5112.0
PVD,2020,391.8606557377049,20108.0,2579.0,8519.0,16483.0,190.13277272727282,9757.0,47689.0
MFR,2020,881.625,13358.0,5751.0,3936.0,5150.0,169.1467543859649,602.0,28195.0
APN,2022,890.8,2824.0,1630.0,0.0,0.0,,,4454.0
LNK,2022,425.6666666666667,807.0,292.0,0.0,178.0,,,1277.0
CVG,2021,2648.94,140233.0,29665.0,64591.0,161465.0,189.76302830188678,18754.0,395954.0
DAB,2021,701.2857142857143,9603.0,1258.0,5412.0,7840.0,,,24113.0
CGI,2021,664.0833333333334,6374.0,340.0,61.0,1194.0,,,7969.0
EYW,2020,537.2115384615385,9053.0,1966.0,8971.0,7894.0,295.0946875,714.0,27884.0
SPS,2020,436.1666666666667,1002.0,1145.0,1503.0,1584.0,,,5234.0
MSP,2022,9500.038961038961,406529.0,98238.0,68793.0,157045.0,250.1986274954628,70301.0,730605.0
XNA,2022,971.3333333333334,16197.0,2663.0,8148.0,16566.0,294.60760000000005,2158.0,43574.0
DIK,2022,16.5,33.0,0.0,0.0,0.0,,,33.0
BOS,2022,12169.175675675675,374473.0,27526.0,134752.0,362506.0,244.50298054474715,231499.0,899257.0
PSE,2021,124.88888888888889,753.0,0.0,119.0,188.0,,,1060.0
SNA,2020,923.7142857142857,39242.0,2804.0,14138.0,21281.0,231.6171424120742,29440.0,77465.0
ADK,2020,162.58333333333334,280.0,195.0,648.0,740.0,,,1863.0
ABY,2022,623.6,1532.0,327.0,285.0,974.0,,,3118.0
GSP,2022,1574.8260869565217,32228.0,6499.0,8183.0,25477.0,245.55421568627452,4563.0,72387.0
PHF,2022,388.6,1106.0,88.0,269.0,480.0,328.41726214574896,500.0,1943.0
HIB,2022,1027.6,2748.0,1782.0,0.0,0.0,,,4530.0
ROW,2022,605.25,2003.0,103.0,0.0,2736.0,,,4842.0
SMX,2020,54.416666666666664,456.0,0.0,69.0,128.0,,,653.0
BRD,2020,545.75,5179.0,1174.0,196.0,0.0,,,6549.0
